punto,direccion,lat,lon,fraccion,dist_km,sedimento
p2_planta,N,-41.118060,-65.098060,0.000000,0.000000,Arena
p2_planta,N,-41.112479,-65.098060,0.020000,0.620000,Arena
p2_planta,N,-41.106898,-65.098060,0.040000,1.240000,Arena
p2_planta,N,-41.101318,-65.098060,0.060000,1.859000,Arena
p2_planta,N,-41.095737,-65.098060,0.080000,2.479000,Arena
p2_planta,N,-41.090156,-65.098060,0.100000,3.099000,Arena
p2_planta,N,-41.084575,-65.098060,0.120000,3.719000,Arena
p2_planta,N,-41.078994,-65.098060,0.140000,4.338000,Arena
p2_planta,N,-41.073413,-65.098060,0.160000,4.958000,Arena
p2_planta,N,-41.067833,-65.098060,0.180000,5.578000,Arena
p2_planta,N,-41.062252,-65.098060,0.200000,6.198000,Arena
p2_planta,N,-41.056671,-65.098060,0.220000,6.818000,Arena
p2_planta,N,-41.051090,-65.098060,0.240000,7.437000,Arena
p2_planta,N,-41.045509,-65.098060,0.260000,8.057000,Arena
p2_planta,N,-41.039928,-65.098060,0.280000,8.677000,Arena
p2_planta,N,-41.034347,-65.098060,0.300000,9.297000,Arena
p2_planta,N,-41.028767,-65.098060,0.320000,9.917000,Arena
p2_planta,N,-41.023186,-65.098060,0.340000,10.536000,Arena
p2_planta,N,-41.017605,-65.098060,0.360000,11.156000,Arena
p2_planta,N,-41.012024,-65.098060,0.380000,11.776000,Arena
p2_planta,N,-41.006443,-65.098060,0.400000,12.396000,Arena
p2_planta,N,-41.000862,-65.098060,0.420000,13.015000,Arena
p2_planta,N,-40.995281,-65.098060,0.440000,13.635000,Arena
p2_planta,N,-40.989700,-65.098060,0.460000,14.255000,Arena
p2_planta,N,-40.984119,-65.098060,0.480000,14.875000,Arena
p2_planta,N,-40.978538,-65.098060,0.500000,15.495000,Arena
p2_planta,N,-40.972957,-65.098060,0.520000,16.114000,Arena
p2_planta,N,-40.967376,-65.098060,0.540000,16.734000,Arena
p2_planta,N,-40.961795,-65.098060,0.560000,17.354000,Arena
p2_planta,N,-40.956215,-65.098060,0.580000,17.974000,Arena
p2_planta,N,-40.950634,-65.098060,0.600000,18.593000,Arena
p2_planta,N,-40.945053,-65.098060,0.620000,19.213000,Arena
p2_planta,N,-40.939472,-65.098060,0.640000,19.833000,Arena
p2_planta,N,-40.933891,-65.098060,0.660000,20.453000,Arena
p2_planta,N,-40.928310,-65.098060,0.680000,21.073000,Arena
p2_planta,N,-40.922729,-65.098060,0.700000,21.692000,Arena
p2_planta,N,-40.917148,-65.098060,0.720000,22.312000,Arena
p2_planta,N,-40.911567,-65.098060,0.740000,22.932000,Arena
p2_planta,N,-40.905986,-65.098060,0.760000,23.552000,Arena
p2_planta,N,-40.900405,-65.098060,0.780000,24.172000,Arena
p2_planta,N,-40.894824,-65.098060,0.800000,24.791000,Arena
p2_planta,N,-40.889243,-65.098060,0.820000,25.411000,Arena
p2_planta,N,-40.883662,-65.098060,0.840000,26.031000,Arena
p2_planta,N,-40.878081,-65.098060,0.860000,26.651000,Arena
p2_planta,N,-40.872500,-65.098060,0.880000,27.270000,Arena
p2_planta,N,-40.866919,-65.098060,0.900000,27.890000,Arena
p2_planta,N,-40.861338,-65.098060,0.920000,28.510000,Arena
p2_planta,N,-40.855756,-65.098060,0.940000,29.130000,Arena
p2_planta,N,-40.850175,-65.098060,0.960000,29.750000,Arena
p2_planta,N,-40.844594,-65.098060,0.980000,30.369000,Arena
p2_planta,N,-40.839013,-65.098060,1.000000,30.989000,Arena
p2_planta,NNE,-41.118060,-65.098060,0.000000,0.000000,Arena
p2_planta,NNE,-41.110383,-65.093855,0.020000,0.923000,Arena
p2_planta,NNE,-41.102705,-65.089652,0.040000,1.846000,Arena
p2_planta,NNE,-41.095027,-65.085449,0.060000,2.769000,Arena
p2_planta,NNE,-41.087349,-65.081247,0.080000,3.691000,Arena
p2_planta,NNE,-41.079671,-65.077047,0.100000,4.614000,Arena
p2_planta,NNE,-41.071993,-65.072847,0.120000,5.537000,Arena
p2_planta,NNE,-41.064314,-65.068648,0.140000,6.460000,Arena
p2_planta,NNE,-41.056636,-65.064450,0.160000,7.383000,Arena
p2_planta,NNE,-41.048957,-65.060254,0.180000,8.306000,Arena
p2_planta,NNE,-41.041278,-65.056058,0.200000,9.229000,Arena
p2_planta,NNE,-41.033599,-65.051863,0.220000,10.152000,Arena
p2_planta,NNE,-41.025920,-65.047669,0.240000,11.074000,Arena
p2_planta,NNE,-41.018240,-65.043476,0.260000,11.997000,Arena
p2_planta,NNE,-41.010561,-65.039284,0.280000,12.920000,Arena
p2_planta,NNE,-41.002881,-65.035093,0.300000,13.843000,Arena
p2_planta,NNE,-40.995201,-65.030903,0.320000,14.766000,Arena
p2_planta,NNE,-40.987521,-65.026714,0.340000,15.689000,Arena
p2_planta,NNE,-40.979841,-65.022526,0.360000,16.612000,Arena
p2_planta,NNE,-40.972161,-65.018339,0.380000,17.534000,Arena
p2_planta,NNE,-40.964480,-65.014153,0.400000,18.457000,Arena
p2_planta,NNE,-40.956799,-65.009968,0.420000,19.380000,Arena
p2_planta,NNE,-40.949119,-65.005784,0.440000,20.303000,Arena
p2_planta,NNE,-40.941437,-65.001601,0.460000,21.226000,Arena
p2_planta,NNE,-40.933756,-64.997418,0.480000,22.149000,Arena
p2_planta,NNE,-40.926075,-64.993237,0.500000,23.072000,Arena
p2_planta,NNE,-40.918393,-64.989057,0.520000,23.995000,Arena
p2_planta,NNE,-40.910712,-64.984878,0.540000,24.917000,Arena
p2_planta,NNE,-40.903030,-64.980699,0.560000,25.840000,Arena
p2_planta,NNE,-40.895348,-64.976522,0.580000,26.763000,Arena
p2_planta,NNE,-40.887666,-64.972345,0.600000,27.686000,Arena
p2_planta,NNE,-40.879983,-64.968170,0.620000,28.609000,Arena
p2_planta,NNE,-40.872301,-64.963995,0.640000,29.532000,Arena
